code,description,detailedDescription
B1000, FalhaECU, Falha na ECU
B3040, ComunMotorImobil, Comunicação entre a ECU do motor e o imobilizador
B3042, ComunMotorImobil, Comunicação entre a ECU do motor e o imobilizador
B3043, ComunMotorImobil, Comunicação entre a ECU do motor e o imobilizador
B3045, SinalSistAlarme, Sinal do sistema de alarme
B3048, SinalSistAlarme, Sinal do sistema de alarme
B3050, CircImobilizador, Circuito do imobilizador
B3053, CircImobilizador, Circuito do imobilizador
B3055, SinalTransponder, Sinal do transponder
B3056, ChaveNaoProgr, Chave não programada
B3057, ImobNaoProgramad, Imobilizador não programado
B3059, ComunMotorImobil, Comunicação entre a ECU do motor e o imobilizador
B3060, ChaveNaoProgr, Chave não programada
B3061, ChaveIncorreta, Chave Incorreta
B3077, ChaveIncorreta, Chave Incorreta
C0035, SensVelocRodaDE, Sensor de velocidade da roda dianteira esquerda
C0040, SensVelocRodaDD, Sensor de velocidade da roda dianteira direita
C0045, SensVelocRodaTE, Sensor de velocidade da roda traseira esquerda
C0050, SensVelocRodaTD, Sensor de velocidade da roda traseira direita
C0060, ValvulaSaidaDE, Válvula de saída dianteira esquerda
C0065, ValvulaEntradaDE, Válvula de entrada dianteira esquerda
C0070, ValvulaSaidaDD, Válvula de saída dianteira direita
C0075, ValvulaEntradaDD, Válvula de entrada dianteira direita
C0080, ValvulaSaidaTE, Válvula de saída traseira esquerda
C0085, ValvulaEntradaTE, Válvula de entrada traseira esquerda
C0090, ValvulaSaidaTD, Válvula de saída traseira direita
C0095, ValvulaEntradaTD, Válvula de entrada traseira direita
C0110, BombaHidraulABS, Bomba hidraulica ABS
C0121, ReleValvula, Relé da válvula
C0141, ValvContrTracao, Válvula de tração
C0146, ValvContrTracao, Válvula de controle de tração
C0151, ValvContrTracao, Válvula de controle de tração
C0156, ValvContrTracao, Válvula de controle de tração
C0161, InterruptorFreio, Interruptor do freio
C0221, SensVelocRodaDD, Sensor de velocidade da roda dianteira direita
C0222, SensVelocRodaDD, Sensor de velocidade da roda dianteira direita
C0223, SensVelocRodaDD, Sensor de velocidade da roda dianteira direita
C0225, SensVelocRodaDE, Sensor de velocidade da roda dianteira esquerda
C0226, SensVelocRodaDE, Sensor de velocidade da roda dianteira esquerda
C0227, SensVelocRodaDE, Sensor de velocidade da roda dianteira esquerda
C0229, SensorVelocDiant, Sensor de velocidade dianteiro
C0235, SensorVelocTras, Sensor de velociadde traseiro
C0236, SinalRotacaoMtr, Sinal de rotação do motor
C0237, SensorVelocTras, Sensor de velociadde traseiro
C0238, SensVelocidRoda, Sensor de velocidade da roda
C0241, CorteIgnInjecao, Corte da ignição/injeção
C0242, ValvulaSaidaDD, Válvula de saída dianteira direita
C0243, ValvulaEntradaDD, Válvula de entrada dianteira direita
C0244, SensorPosicBorb, Sensor de posição da borboleta
C0245, SensVelocidRoda, Sensor de velocidade da roda
C0246, ValvulaSaidaDE, Válvula de saída dianteira esquerda
C0247, ValvulaEntradaDE, Válvula de entrada dianteira esquerda
C0248, ValvulaSaidaDE, Válvula de saída dianteira esquerda
C0251, ValvulaTraseira, Válvula traseira
C0252, ValvulaTraseira, Válvula traseira
C0253, ValvulaTraseira, Válvula traseira
C0254, ValvulaTraseira, Válvula traseira
C0265, ReleAlimentABS, Relé de alimentação do ABS
C0266, ReleAlimentABS, Relé de alimentação do ABS
C0267, MotorBomba, Motor da bomba
C0268, MotorBomba, Motor da bomba
C0269, SensorPressao, Sensor de pressão
C0271, FalhaMemoriaRAM, Falha de memória RAM
C0272, FalhaMemoriaROM, Falha de memória ROM
C0273, ECU, ABS ECU do ABS
C0274, ValvulaEntrada, Válvula de entrada
C0281, InterruptorFreio, Interruptor do freio
C0284, ECU, ABS ECU do ABS
C0286, IndicadorABS, Indicador do ABS
C0288, IndicadorABS, Indicador do ABS
C0550, FalhaECU, Falha na ECU
C0551, ControleTracao, Controle de tração
C0800, Tensao, Bateria Tensão da bateria
P0001, RegFluxoCombust, Regulador de fluxo de combustível
P0002, RegFluxoCombust, Regulador de fluxo de combustível
P0003, RegFluxoCombust, Regulador de fluxo de combustível
P0004, RegFluxoCombust, Regulador de fluxo de combustível 3
P0005, InterInercial, Interruptor inercial
P0006, InterInercial, Interruptor inercial
P0007, InterInercial, Interruptor inercial
P0008, SistPosicMotor, Sistema de posição do motor
P0009, SistPosicMotor, Sistema de posição do motor
P0010, PosicComanValv, Posição do comando de válvulas
P0011, PosicComanValv, Posição do comando de válvulas
P0012, PosicComanValv, Posição do comando de válvulas
P0013, PosicComanValv, Posição do comando de válvulas
P0014, PosicComanValv, Posição do comando de válvulas
P0015, PosicComanValv, Posição do comando de válvulas
P0016, PosVirabComValv, Sincronismo virabrequim e comando de válvulas
P0017, PosVirabComValv, Sincronismo virabrequim e comando de válvulas
P0018, PosVirabComValv, Sincronismo virabrequim e comando de válvulas
P0019, PosVirabComValv, Sincronismo virabrequim e comando de válvulas
P0020, PosicComanValv, Posição do comando de válvulas
P0021, PosicComanValv, Posição do comando de válvulas
P0022, PosicComanValv, Posição do comando de válvulas
P0023, PosicComanValv, Posição do comando de válvulas
P0024, PosicComanValv, Posição do comando de válvulas
P0025, PosicComanValv, Posição do comando de válvulas
P0026, CircValvEntrada, Circuito da válvula de entrada
P0027, CircValvSaida, Circuito da válvula de saída
P0028, CircValvEntrada, Circuito da válvula de entrada
P0029, CircValvSaida, Circuito da válvula de saída
P0030, AquecLambda1B1, Aquecedor da sonda lambda 1 banco 1
P0031, AquecLambda1B1, Aquecedor da sonda lambda 1 banco 1
P0032, AquecLambda1B1, Aquecedor da sonda lambda 1 banco 1
P0033, ValvPressaoTurbo, Válvula de pressão do turbo
P0034, ValvPressaoTurbo, Válvula de pressão do turbo
P0035, ValvPressaoTurbo, Válvula de pressão do turbo
P0036, AquecLambda2B1, Aquecedor da sonda lambda 2 banco 1
P0037, AquecLambda2B1, Aquecedor da sonda lambda 2 banco 1
P0038, AquecLambda2B1, Aquecedor da sonda lambda 2 banco 1
P0039, ValvDerivTurbo, Válvula de derivação do turbo
P0040, SinalSondaLambda, Sinal da sonda lambda
P0041, SinalSondaLambda, Sinal da sonda lambda
P0042, AquecLambda3B1, Aquecedor da sonda lambda 3 banco 1
P0043, AquecLambda3B1, Aquecedor da sonda lambda 3 banco 1
P0044, AquecLambda3B1, Aquecedor da sonda lambda 3 banco 1
P0045, ValvPressaoTurbo, Válvula de pressão do turbo
P0046, ValvPressaoTurbo, Válvula de pressão do turbo
P0047, ValvPressaoTurbo, Válvula de pressão do turbo
P0048, ValvPressaoTurbo, Válvula de pressão do turbo P0049 Turbina Turbina
P0050, AquecLambda1B2, Aquecedor da sonda lambda 1 banco 2
P0051, AquecLambda1B2, Aquecedor da sonda lambda 1 banco 2
P0052, AquecLambda1B2, Aquecedor da sonda lambda 1 banco 2
P0053, AquecLambda1B1, Aquecedor da sonda lambda 1 banco 1
P0054, AquecLambda2B1, Aquecedor da sonda lambda 2 banco 1
P0055, AquecLambda3B1, Aquecedor da sonda lambda 3 banco 1
P0056, AquecLambda2B2, Aquecedor da sonda lambda 2 banco 2
P0057, AquecLambda2B2, Aquecedor da sonda lambda 2 banco 2
P0058, AquecLambda2B2, Aquecedor da sonda lambda 2 banco 2
P0059, AquecLambda1B2, Aquecedor da sonda lambda 1 banco 2
P0060, AquecLambda2B2, Aquecedor da sonda lambda 2 banco 2
P0061, AquecLambda3B2, Aquecedor da sonda lambda 3 banco 2
P0062, AquecLambda3B2, Aquecedor da sonda lambda 3 banco 2
P0063, AquecLambda3B2, Aquecedor da sonda lambda 3 banco 2
P0064, AquecLambda3B2, Aquecedor da sonda lambda 3 banco 2
P0065, InjetorAr, Injetor de ar
P0066, InjetorAr, Injetor de ar
P0067, InjetorAr, Injetor de ar
P0068, RelMAPMAFBorb, Relação MAP  MAF e posição da borboleta
P0069, RelMAPPresBarom, Relação MAP e pressão barométrica
P0070, TemperArExterior, Temperatura do ar exterior
P0071, TemperArExterior, Temperatura do ar exterior
P0072, TemperArExterior, Temperatura do ar exterior
P0073, TemperArExterior, Temperatura do ar exterior
P0074, TemperArExterior, Temperatura do ar exterior
P0075, CircValvEntrada, Circuito da válvula de entrada
P0076, CircValvEntrada, Circuito da válvula de entrada
P0077, CircValvEntrada, Circuito da válvula de entrada
P0078, CircValvSaida, Circuito da válvula de saída
P0079, CircValvSaida, Circuito da válvula de saída
P0080, CircValvSaida, Circuito da válvula de saída
P0081, CircValvEntrada, Circuito da válvula de entrada
P0082, CircValvEntrada, Circuito da válvula de entrada
P0083, CircValvEntrada, Circuito da válvula de entrada
P0084, CircValvSaida, Circuito da válvula de saída
P0085, CircValvSaida, Circuito da válvula de saída
P0086, CircValvSaida, Circuito da válvula de saída
P0087, PressaoSistema, Pressão do sistema
P0088, PressaoSistema, Pressão do sistema
P0089, RegFluxoCombust, Regulador de fluxo de combustível
P0090, ValvDosadComb, Válvula dosadora de combustível
P0091, ValvDosadComb, Válvula dosadora de combustível
P0092, ValvDosadComb, Válvula dosadora de combustível
P0093, VazamSistCombust, Vazamento do sistema de combustível
P0094, VazamSistCombust, Vazamento do sistema de combustível
P0095, SensTempAr, Sensor de Temperatura do Ar de Admissão
P0096, SensTempAr, Sensor de Temperatura do Ar de Admissão
P0097, SensTempAr, Sensor de Temperatura do Ar de Admissão
P0098, SensTempAr, Sensor de Temperatura do Ar de Admissão
P0099, SensTempAr, Sensor de Temperatura do Ar de Admissão
P0100, SensorMAF,Sensor MAF
P0101, SensorMAF, Sensor MAF
P0102, SensorMAF, Sensor MAF
P0103, SensorMAF, Sensor MAF
P0104, SensorMAF, Sensor MAF
P0105, SensorMAP, Sensor MAP
P0106, SensorMAP, Sensor MAP
P0107, SensorMAP, Sensor MAP
P0108, SensorMAP, Sensor MAP
P0109, SensorMAP, Sensor MAP
P0110, CircTempArColet, Circuito da temperatura do ar do coletor
P0111, SensTempAr, Sensor de Temperatura do Ar de Admissão
P0112, CircTempArColet, Circuito da temperatura do ar do coletor
P0113, CircTempArColet, Circuito da temperatura do ar do coletor
P0114, SensTempAr, Sensor de Temperatura do Ar de Admissão
P0115, SensTempAgua, Sensor de Temperatura da água
P0116, SensTempAgua, Sensor de Temperatura da água
P0117, SensTempAgua, Sensor de Temperatura da água
P0118, SensTempAgua, Sensor de Temperatura da água
P0119, SensTempAgua, Sensor de Temperatura da água
P0120, SensorPosicBorb, Sensor de posição da borboleta
P0121, PotencBorboletaA, Potenciômetro da borboleta A
P0122, PotencBorboletaA, Potenciômetro da borboleta A
P0123, PotencBorboletaA, Potenciômetro da borboleta A
P0124, SensorPosicBorb, Sensor de posição da borboleta
P0125, TemperaturaAgua, Temperatura da água
P0126, TemperaturaAgua, Temperatura da água
P0127, TemperatAdmiss, Temperatura da Admissão
P0128, TemperaturaAgua, Temperatura da água
P0129, PressBarometrica, Pressão barométrica
P0130, SondaLambda, Sonda Lambda
P0131, SondaLambda1B1, Sonda Lambda 1 banco 1
P0132, SondaLambda1B1, Sonda Lambda 1 banco 1
P0133, SondaLambda1B1, Sonda Lambda 1 banco 1
P0134, SondaLambda1B1, Sonda Lambda 1 banco 1
P0135, AquecLambda1B1, Aquecedor da sonda lambda 1 banco 1
P0136, SondaLambda2B1, Sonda lambda 2 banco 1
P0137, SondaLambda2B1, Sonda lambda 2 banco 1
P0138, SondaLambda2B1, Sonda lambda 2 banco 1
P0139, SondaLambda2B1, Sonda lambda 2 banco 1
P0140, SondaLambda2B1, Sonda lambda 2 banco 1
P0141, AquecLambda2B1, Aquecedor da sonda lambda 2 banco 1
P0142, AquecLambda3B1, Aquecedor da sonda lambda 3 banco 1
P0143, AquecLambda3B1, Aquecedor da sonda lambda 3 banco 1
P0144, SondaLambda3B1, Sonda lambda 3 banco 1
P0145, SondaLambda3B1, Sonda lambda 3 banco 1
P0146, SondaLambda3B1, Sonda lambda 3 banco 1
P0147, AquecLambda3B1, Aquecedor da sonda lambda 3 banco 1
P0148, RegFluxoCombust, Regulador de fluxo de combustível
P0149, RegFluxoCombust, Regulador de fluxo de combustível
P0150, SondaLambda1B2, Sonda Lambda 1 banco 2
P0151, SondaLambda1B2, Sonda Lambda 1 banco 2
P0152, SondaLambda1B2, Sonda Lambda 1 banco 2
P0153, SondaLambda1B2, Sonda Lambda 1 banco 2
P0154, SondaLambda1B2, Sonda Lambda 1 banco 2
P0155, AquecLambda1B2, Aquecedor da sonda lambda 1 banco 2
P0156, SondaLambda2B2, Sonda lambda 2 banco 2
P0157, SondaLambda2B2, Sonda lambda 2 banco 2
P0158, SondaLambda2B2, Sonda lambda 2 banco 2
P0159, SondaLambda2B2, Sonda lambda 2 banco 2
P0160, SondaLambda2B2, Sonda lambda 2 banco 2
P0161, AquecLambda2B2, Aquecedor da sonda lambda 2 banco 2
P0162, SondaLambda3B2, Sonda lambda 3 banco 2
P0163, SondaLambda3B2, Sonda lambda 3 banco 2
P0164, SondaLambda3B2, Sonda lambda 3 banco 2
P0165, SondaLambda3B2, Sonda lambda 3 banco 2
P0166, SondaLambda3B2, Sonda lambda 3 banco 2
P0167, AquecLambda3B2, Aquecedor da sonda lambda 3 banco 2
P0168, SensTempCombust, Sensor de temperatura do combustível
P0169, CompCombIncorr, Composição do combustível incorreta
P0170, SondaLambda, Sonda Lambda
P0171, MisturaMuitPobre, Mistura muito pobre
P0172, MisturaMuitoRica, Mistura muito rica
P0173, RegulacaoInjecao, Regulação da injeção
P0174, MisturaMuitPobre, Mistura muito pobre
P0175, MisturaMuitoRica, Mistura muito rica
P0176, SensCompCombust, Sensor de composição do combustível
P0177, SensCompCombust, Sensor de composição do combustível
P0178, SensCompCombust, Sensor de composição do combustível
P0179, SensCompCombust, Sensor de composição do combustível
P0180, SensTempCombust, Sensor de temperatura do combustível
P0181, SensTempCombust, Sensor de temperatura do combustível
P0182, TemperatCombust, Temperatura do combustível
P0183, TemperatCombust, Temperatura do combustível
P0184, SensTempCombust, Sensor de temperatura do combustível
P0185, SensTempCombust, Sensor de temperatura do combustível
P0186, SensTempCombust, Sensor de temperatura do combustível
P0187, TemperatCombust, Temperatura do combustível
P0188, TemperatCombust, Temperatura do combustível
P0189, SensTempCombust, Sensor de temperatura do combustível
P0190, SensorPresCombus, Sensor de pressão do combustível
P0191, SensorPresCombus, Sensor de pressão do combustível
P0192, SensorPresCombus, Sensor de pressão do combustível
P0193, SensorPresCombus, Sensor de pressão do combustível
P0194, SensorPresCombus, Sensor de pressão do combustível
P0195, SensorTempOleo, Sensor de temperatura do óleo
P0196, SensorTempOleo, Sensor de temperatura do óleo
P0197, SensorTempOleo, Sensor de temperatura do óleo
P0198, SensorTempOleo, Sensor de temperatura do óleo
P0199, SensorTempOleo, Sensor de temperatura do óleo
P0200, Injetor, Injetor
P0201, Injetor1, Injetor 1
P0202, Injetor2, Injetor 2
P0203, Injetor3, Injetor 3
P0204, Injetor4, Injetor 4
P0205, Injetor5, Injetor 5
P0206, Injetor6, Injetor 6
P0207, Injetor7, Injetor 7
P0208, Injetor8, Injetor 8
P0209, Injetor9, Injetor 9
P0210, Injetor10, Injetor 10
P0211, Injetor11, Injetor 11
P0212, Injetor12, Injetor 12
P0213, InjetorPartFrio, Injetor de partida a frio
P0214, InjetorPartFrio, Injetor de partida a frio
P0215, InterInercial, Interruptor inercial
P0216, RegFluxoCombust, Regulador de fluxo de combustível
P0217, TemperaturaMotor, Temperatura do motor
P0218, TemperatTranmiss, Temperatura da transmissão
P0219, Sobrerotacao, Sobrerotação do motor
P0220, SensorPosicBorb, Sensor de posição da borboleta
P0221, SensorPosicBorb, Sensor de posição da borboleta
P0222, PotencBorboletaB, Potenciômetro da borboleta B
P0223, PotencBorboletaB, Potenciômetro da borboleta B
P0224, SensorPosicBorb, Sensor de posição da borboleta
P0225, SensorPosicBorb, Sensor de posição da borboleta
P0226, SensorPosicBorb, Sensor de posição da borboleta
P0227, SensorPosicBorb, Sensor de posição da borboleta
P0228, SensorPosicBorb, Sensor de posição da borboleta
P0229, SensorPosicBorb, Sensor de posição da borboleta
P0230, ReleBombaCombust, Relê da bomba de combustível
P0231, ReleBombaCombust, Relê da bomba de combustível
P0232, ReleBombaCombust, Relê da bomba de combustível
P0233, ReleBombaCombust, Relê da bomba de combustível
P0234, SistemaTurbo, Sistema turbo P0235 SistemaTurbo Sistema turbo
P0236, SensorMAP, Sensor MAP P0237 SensorMAP Sensor MAP
P0238, SensorMAP, Sensor MAP
P0239, SemAplicPresente, Nenhuma aplicação presente
P0240, SemAplicPresente, Nenhuma aplicação presente
P0241, SemAplicPresente, Nenhuma aplicação presente
P0242, SemAplicPresente, Nenhuma aplicação presente
P0243, ValvAlivioTurbo, Válvula de alívio do turbo
P0244, ValvAlivioTurbo, Válvula de alívio do turbo
P0245, ValvAlivioTurbo, Válvula de alívio do turbo
P0246, ValvAlivioTurbo, Válvula de alívio do turbo
P0247, ValvAlivioTurbo, Válvula de alívio do turbo
P0248, ValvAlivioTurbo, Válvula de alívio do turbo
P0249, ValvAlivioTurbo, Válvula de alívio do turbo
P0250, ValvAlivioTurbo, Válvula de alívio do turbo
P0251, BombaCombustivel, Bomba de combustível
P0252, BombaCombustivel, Bomba de combustível
P0253, BombaCombustivel, Bomba de combustível
P0254, BombaCombustivel, Bomba de combustível
P0255, BombaCombustivel, Bomba de combustível
P0256, BombaCombustivel, Bomba de combustível
P0257, BombaCombustivel, Bomba de combustível
P0258, BombaCombustivel, Bomba de combustível
P0259, BombaCombustivel, Bomba de combustível
P0260, BombaCombustivel, Bomba de combustível
P0261, Injetor1, Injetor 1
P0262, Injetor1, Injetor 1
P0263, FalhaIgnicaoCil1, Falha de ignição no cilindro 1
P0264, Injetor2, Injetor 2
P0265, Injetor2, Injetor 2
P0266, FalhaIgnicaoCil2, Falha de ignição no cilindro 2
P0267, Injetor3, Injetor 3
P0268, Injetor3, Injetor 3
P0269, FalhaIgnicaoCil3, Falha de ignição no cilindro 3
P0270, Injetor4, Injetor 4
P0271, Injetor4, Injetor 4
P0272, FalhaIgnicaoCil4, Falha de ignição no cilindro 4
P0273, Injetor5, Injetor 5
P0274, Injetor5, Injetor 5 9
P0275, FalhaIgnicaoCil5, Falha de ignição no cilindro 5
P0276, Injetor6, Injetor 6
P0277, Injetor6, Injetor 6
P0278, FalhaIgnicaoCil6, Falha de ignição no cilindro 6
P0279, Injetor7, Injetor 7
P0280, Injetor7, Injetor 7
P0281, FalhaIgnicaoCil7, Falha de ignição no cilindro 7
P0282, Injetor8, Injetor 8 P0283 Injetor8 Injetor 8
P0284, FalhaIgnicaoCil8, Falha de ignição no cilindro 8
P0285, Injetor9, Injetor 9
P0286, Injetor9, Injetor 9
P0287, FalhaIgnicaoCil9, Falha de ignição no cilindro 9
P0288, Injetor10, Injetor 10
P0289, Injetor10, Injetor 10
P0290, FalhaIgnicCil10, Falha de ignição no cilindro 10
P0291, Injetor11, Injetor 11
P0292, Injetor11, Injetor 11
P0293, FalhaIgnicCil11, Falha de ignição no cilindro 11
P0294, Injetor12, Injetor 12
P0295, Injetor12, Injetor 12
P0296, FalhaIgnicCil12, Falha de ignição no cilindro 12
P0297, Sobrevelocidade, Sobrevelocidade
P0298, TempOleoAlta, Temperatura do óleo alta
P0299, SistemaTurbo, Sistema turbo
P0300, FalhaIgnicao, Falha de ignição
P0301, FalhaIgnicaoCil1, Falha de ignição no cilindro 1
P0302, FalhaIgnicaoCil2, Falha de ignição no cilindro 2
P0303, FalhaIgnicaoCil3, Falha de ignição no cilindro 3
P0304, FalhaIgnicaoCil4, Falha de ignição no cilindro 4
P0305, FalhaIgnicaoCil5, Falha de ignição no cilindro 5
P0306, FalhaIgnicaoCil6, Falha de ignição no cilindro 6
P0307, FalhaIgnicaoCil7, Falha de ignição no cilindro 7
P0308, FalhaIgnicaoCil8, Falha de ignição no cilindro 8
P0309, FalhaIgnicaoCil9, Falha de ignição no cilindro 9
P0310, FalhaIgnicCil10, Falha de ignição no cilindro 10
P0311, FalhaIgnicCil11, Falha de ignição no cilindro 11
P0312, FalhaIgnicCil12, Falha de ignição no cilindro 12
P0313, FalhaIgnicaoCil, Falha de ignição em cilindro
P0314, FalhaIgnicaoCil, Falha de ignição em cilindro
P0315, PosicVirabrequim, Posição do virabrequim
P0316, FalhaIgnicaoCil, Falha de ignição em cilindro
P0317, SensTerrenIrreg, Sensor de terreno irregular
P0318, SensTerrenIrreg, Sensor de terreno irregular
P0319, SensTerrenIrreg, Sensor de terreno irregular 10
P0320, SensorRotacao, Sensor de rotação
P0321, SensorRotacao, Sensor de rotação
P0322, SensorRotacao, Sensor de rotação
P0323, SensorRotacao, Sensor de rotação
P0324, Detonacao, Detonação
P0325, SensorDetonacao, Sensor de detonação
P0326, SensorDetonac1, Sensor de detonação 1
P0327, SensorDetonacao, Sensor de detonação
P0328, SensorDetonac1, Sensor de detonação 1
P0329, SensorDetonac1, Sensor de detonação 1
P0330, SensorDetonac2, Sensor de detonação 2
P0331, SensorDetonac2, Sensor de detonação 2
P0332, SensorDetonac2, Sensor de detonação 2
P0333, SensorDetonac2, Sensor de detonação 2
P0334, SensorDetonac2, Sensor de detonação 2
P0335, SinalRotacao, Sinal de rotação
P0336, SensorRotacao, Sensor de rotação
P0337, SensorRotacao, Sensor de rotação
P0338, SensorRotacao, Sensor de rotação
P0339, SensorRotacao, Sensor de rotação
P0340, PosicComanValv, Posição do comando de válvulas
P0341, PosicComanValv, Posição do comando de válvulas
P0342, SensorFase, Sensor de posição do comando de vávulas
P0343, SensorFase, Sensor de posição do comando de vávulas
P0344, SensorFase, Sensor de posição do comando de vávulas
P0345, SensorFase, Sensor de posição do comando de vávulas
P0346, SensorFase, Sensor de posição do comando de vávulas
P0347, SensorFase, Sensor de posição do comando de vávulas
P0348, SensorFase, Sensor de posição do comando de vávulas
